Wallet,Balance,,Column1,Balance,% total,VLT,,,,Token ID,Address,,,Unique wallet,Num gotchis,% total,VLT,,,Wallet,vGHST,vGHST VLT,Gotchis,Gotchi VLT,Total VLT
0xc0719b1040f7f8e904A6509F99335656C1d881eD,10097.65728,,0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,0.003761128,17.58658111,,,,17490,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,,,0x66ab6A57322aC5FD7026662675Db0E83307e025E,31,0.008391987,39.2399242,,,0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,33008.39653,58.22848864,17,21.51866811,79.74715675
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,,0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,0.003729098,17.4368134,,,,15448,0x4a1792edAf8B56dFeD15a8887289edceb8a91857,,,0x76A5Df896413F3B566d07da5AF44326C0f54a25b,31,0.008391987,39.2399242,,,0xa33Aa58FD2795eA89a84C19CACDad50915194980,0,0,56,70.88502436,70.88502436
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,,0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,9874.195167,0.003725199,17.41858198,,,,10925,0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,,,0x2848b9f2D4FaEBaA4838c41071684c70688B455d,29,0.007850568,36.70831619,,,0x2957dFa6C3CD17810E6F77Fd9b14aF1F27fdACc5,35589.61001,62.78188036,3,3.797412019,66.57929238
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,9874.195167,,0x1c9674667D8468204452c52D610a0883E97C22aD,9811.790664,0.003701656,17.30849727,,,,9602,0xa33Aa58FD2795eA89a84C19CACDad50915194980,,,0x4a39beD3F97ac8e4774b7407dE7090E7A1050A69,28,0.007579859,35.44251218,,,0x07A009e9E98649Bff954cf3032ceB3E21E020f49,9.18316E-05,1.61996E-07,52,65.82180834,65.8218085
0x1c9674667D8468204452c52D610a0883E97C22aD,9811.790664,,0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,9370.551812,0.003535191,16.53012951,,,,24179,0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,,,0xbbA31530Cd8e112be845da468B72fbbFE739387A,25,0.006767731,31.64510016,,,0xdf631777df4DebcBcd647e85bdcB868b43663BA0,0.924933655,0.00163163,48,60.75859231,60.76022394
0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,9370.551812,,0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,0.003076876,14.38710099,,,,7689,0x4eDb4161D16c89b71Aec027930a943c3d4cf0777,,,0xc0AFEF712a1341cA78dA145B2AFAd346E8C3574F,24,0.006497022,30.37929616,,,0x33f844352144a9DDd91542b0adCD8Ba0dD142e93,33578.34581,59.23390813,0,0,59.23390813
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,,0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8078.534717,0.003047757,14.25094571,,,,23349,0x156E6C5a2Fac34bB2Fcf2Ac1bbAA0E75BDE3aC4F,,,0xc0719b1040f7f8e904A6509F99335656C1d881eD,22,0.005955604,27.84768814,,,0x79bF225FBfd40f78B1878A6d1EeC1Bb03dF92AeB,0,0,45,56.96118029,56.96118029
0x6fcf9D80e2b597F4B3FA764b5626F573a9Fc93D3,8078.534717,,0xAb2e11C99D8830D5d9B2494A565c974595e39eef,7766.914386,0.002930193,13.70123161,,,,4744,0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,,,0x02AEe0CE756fa0157294Ff3Ff48c1Dd02ADCCF04,21,0.005684894,26.58188414,,,0x0Bb75bEf057da63a0ae4B25fe9aDaFd35cd92B87,126.7815712,0.223649133,43,54.42957228,54.65322141
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,7766.914386,,0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,0.002471841,11.5580338,,,,18151,0x0030B9F1925408D79be83C7cecfffdbACb638e9B,,,0x2D5f86cd294cA6c92189340EaEFf41fc63Dc66EF,20,0.005414185,25.31608013,,,0xbbA31530Cd8e112be845da468B72fbbFE739387A,12408.78798,21.88973248,25,31.64510016,53.53483265
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,,0x4177a5c0E2369F6830A4c3825aFc8fB3Dd47790D,6311.799305,0.002381228,11.13433468,,,,10624,0xAF777F6ff15de8d50527208d8cbd36576b213f97,,,0xd07f70Dd326A34a00961139458d86c6A30FcdCA5,20,0.005414185,25.31608013,,,0xc0893fA01108f50fa2A04e2ccEE815376EC56233,309.5878709,0.546128734,41,51.89796427,52.444093
