Wallet,vGHST VLT,Gotchi VLT,Total
0x968f1d35f721606d8079e42670b6D153CD4626F6,9.087509087,0,9.087509087
0x575C13C07b054438a513f4968605c021856f63F8,5.283121885,3.755726908,9.038848792
0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,5.225310181,3.755726908,8.981037088
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,8.742960419,0,8.742960419
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,8.669006292,0,8.669006292
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,8.544002082,0,8.544002082
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,2.853278586,5.633590361,8.486868948
0x41Ade9A5803B4676917411Dbb439D357965dBf46,4.628126315,3.755726908,8.383853222
0x973efE3a49AA9257e2a5f1e7e866DF7e5ee96d8E,8.285060453,0,8.285060453
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,8.097496971,0,8.097496971
0xbb899870561D48e823DdfACFFa201dc20214a530,2.335688906,5.633590361,7.969279267
0xeFF1C603739cc71025C23B49C4D661E6b3DF8184,5.997950327,1.877863454,7.875813781
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,7.807753311,0,7.807753311
0x25612e8bd7683De22dA45D717D0493B0e96424b4,5.926625885,1.877863454,7.804489339
0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,2.141059423,5.633590361,7.774649785
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,0.249341112,7.511453815,7.760794927
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,0.213982324,7.511453815,7.725436139
0xD952fB344DDAcC0c0e8c23cc686C10d5Dda11A97,0.107017473,7.511453815,7.618471289
0x4c1Fd4e71E38bDaE5cc0dBce263dBb6Be018B6cB,0.107000837,7.511453815,7.618454652
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,0.040664136,7.511453815,7.552117952
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,0.002146322,7.511453815,7.513600137
0x47dC446E56D14C5a51fB7cFf0abA7E5433754Be8,2.58154E-08,7.511453815,7.511453841
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,0,7.511453815,7.511453815
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,0,7.511453815,7.511453815
0xc8d42ec0eA8f543E01bd49199f6a1888AE11023B,0,7.511453815,7.511453815
0xCBE12068CaB7A49BB9C9746a734dE7A11211A3B1,0,7.511453815,7.511453815
0x2c5C5db1847a96d879b6244cce9320508Bf0A61b,0,7.511453815,7.511453815
0xB203df26AF3666f4214661f7f903C46EDF9403b0,3.27868646,3.755726908,7.034413367
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,3.080605514,3.755726908,6.836332422
0xDA9890c4d573fe27f79C0665ae7E740c6a11412F,1.183824087,5.633590361,6.817414448
0xaa1158b6bf42C03cA787F71A2f0CbEfBaf98Bb86,2.948536103,3.755726908,6.70426301
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,2.924223923,3.755726908,6.679950831
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,1.021898658,5.633590361,6.65548902
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,0.985149993,5.633590361,6.618740355
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,2.786077841,3.755726908,6.541804749
0x64eD2D64912e45d004a64b0f9F3D759533C395e8,0.871817552,5.633590361,6.505407914
0xe02c707c40c9184a5BF6c3AB1ca2609F32989822,6.494785022,0,6.494785022
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,6.39E+00,0,6.389486917
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,6.346422487,0,6.346422487
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,0.641902152,5.633590361,6.275492513
0x5CD4EF55C339ef01f79f494c0a568df90699Aa22,2.505096476,3.755726908,6.260823384
