Wallet,Gotchis,Gotchi VLT,vGHST,vGHST VLT,Total VLT
0xf0Ecf448C3817Bd9bfc2D0D0dC41Ef568367506B,2,3.042212101,4944.859295,10.99882998,14.04104208
0xfbb073e09D84970d1eFe099aBBE9E626f8FF7024,9,13.68995446,0,0,13.68995446
0xD153F676B14eC35461E652300cFC1599C0dAEBA4,6,9.126636304,1796.187609,3.995252633,13.12188894
0xc928499a080594C8854D1A46DCAe5E862acC5d08,2,3.042212101,4338.395074,9.649874131,12.69208623
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,8,12.16884841,179.900717,0.400152417,12.56900082
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,8,12.16884841,99.9448428,0.222306898,12.3911553
0x59E5fe3a536d2fa69614E0A0692F5C6e3D6dCbfc,8,12.16884841,96.61249592,0.214894773,12.38374318
0x7a9A2FFA209C212e8c36e74FB209518E959F65dB,2,3.042212101,4134.307315,9.195922577,12.23813468
0xae5b56ca47E84b6c749E0454680C4161B9DA9790,8,12.16884841,13.55428345,0.030148736,12.19899714
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,8,12.16884841,8.43677E-05,1.87659E-07,12.16884859
0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,8,12.16884841,0,0,12.16884841
0x59bdFB381CA2080D0D042903e776D3DCb548050A,8,12.16884841,0,0,12.16884841
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,8,12.16884841,0,0,12.16884841
0x7264E14a050fE6A383C654448FCc84d7A4b9eC94,8,12.16884841,0,0,12.16884841
0x4dAE5b5bf3dC068BDFEC47b8B402AFf28fe6707F,6,9.126636304,1357.538053,3.019566249,12.14620255
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,5,7.605530254,1942.369561,4.320404541,11.92593479
0xdC7Aa225964267c7E0EfB35f4931426209E90312,0,0,5330.793375,11.85726155,11.85726155
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,2,3.042212101,3952.804757,8.792207192,11.83441929
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,0,0,5060.449785,11.25593742,11.25593742
0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,7,10.64774236,258.8527003,0.575764985,11.22350734
0x628cC4601166a44e5378717790c8Da50de0cce9B,3,4.563318152,2927.641728,6.511941328,11.07525948
0x6794BDa8e07FAA690d6924B259992Ed354aeC9Bb,7,10.64774236,183.3736286,0.4078772,11.05561956
0x1d5BEdf6B017a282eb7446e86e7C2584E89Ef466,0,0,4944.76657,10.99862373,10.99862373
0xa59e113fbef3B4129bAef6b5355dFf683851aFA7,7,10.64774236,75.2685234,0.167419464,10.81516182
0xc976895017c81Ac926478C26c347BBEd202d0508,5,7.605530254,1414.863872,3.147075829,10.75260608
0x77f07Ab7B444C7C9FCfAfc76c053A810cD6203CB,3,4.563318152,2736.723119,6.087281858,10.65060001
0x5551fA79F15CA4592A3950372fD3d4EE8be7b5CC,7,10.64774236,0,0,10.64774236
0x7953bB4AFA683C36396Bee7Dd7d3647cF640B0d2,7,10.64774236,0,0,10.64774236
0x984b148D106c204f2d1a84b0053477971e1DF56a,7,10.64774236,0,0,10.64774236
0x3c2262255793f2b4629F7b9A2D57cE78f7842A8d,7,10.64774236,0,0,10.64774236
0x3CF4E2F525C3e755c4aae97846379Ef703252288,0,0,4776.696524,10.62478622,10.62478622
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,0,0,4710.67901,10.47794374,10.47794374
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,6,9.126636304,554.6698771,1.233749902,10.36038621
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,4,6.084424203,1696.28197,3.773032935,9.857457138
0xa919538CeAb5c64608945865835dbC10540feB1D,0,0,4421.365532,9.834424977,9.834424977
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,1,1.521106051,3677.771028,8.180450812,9.701556863
0xBf3FA037a65A6816623BB7fbf836E3540cd857AA,0,0,4187.157905,9.313477924,9.313477924
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,3,4.563318152,2124.176606,4.724797197,9.288115349
0x0d03FD0320d95E5E579E5567aBd7B1Ffd18cc0A4,0,0,4137.047,9.202016447,9.202016447
0xE4E98E007e5A4A5a73a4BA2254efEaaE131CbC04,6,9.126636304,18.94621117,0.042141979,9.168778283
0xA709f9904a4E3cF50816609834175446C2246577,6,9.126636304,4.935986144,0.010979093,9.137615398
0x56a356c378C5FA08Dfd32ee4Ca0Dce93F328BA37,6,9.126636304,0,0,9.126636304
0x6299dbe5BE8ED5d5DF9Ff5a21B485c7da0cF3476,6,9.126636304,0,0,9.126636304
0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,4,6.084424203,1362.753174,3.03116622,9.115590423
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,0,0,4073.51511,9.060702728,9.060702728
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,3,4.563318152,1996.588272,4.441002995,9.004321147
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,0,0,4039.058446,8.984060914,8.984060914
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,5,7.605530254,616.4171318,1.371094064,8.976624318
0x7A8B10716E2e473a541E9E990e711651425E5413,2,3.042212101,2572.810486,5.722691671,8.764903773
0x575C13C07b054438a513f4968605c021856f63F8,2,3.042212101,2461.509122,5.475124509,8.517336611
0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,2,3.042212101,2434.573526,5.415211775,8.457423877
0x3EF4160952C23c969BfE612DFFd9D945eb967dc1,0,0,3771.658384,8.389284067,8.389284067
0x29E9315DdBb5c44717D64bD6c0550a692819413d,3,4.563318152,1678.677504,3.733875395,8.297193548
0x75bbECBC4fA323d304E41Dd383f1F1878288DB00,5,7.605530254,170.8107807,0.37993371,7.985463963
0xC144e32f2a0DB6507fDdfA630628b80468c05B75,0,0,3544.765566,7.884607315,7.884607315
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,5,7.605530254,95.78203652,0.213047586,7.818577839
0xeFF1C603739cc71025C23B49C4D661E6b3DF8184,1,1.521106051,2794.56158,6.215931708,7.737037759
0x41Ade9A5803B4676917411Dbb439D357965dBf46,2,3.042212101,2106.333961,4.685109876,7.727321977
0x3FA9db8d720679E8e5213f6C5D88faB766058e20,3,4.563318152,1403.244537,3.121230992,7.684549144
0x25612e8bd7683De22dA45D717D0493B0e96424b4,1,1.521106051,2761.330137,6.142015148,7.663121198
0x9993AB06c1eDC0FdeA706b1F6F6359c0c1EC5E5b,5,7.605530254,7.84796E-05,1.74562E-07,7.605530428
0xd32f222283D295f93664B11faAC967e6826b635f,5,7.605530254,9.06359E-06,2.01601E-08,7.605530274
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,5,7.605530254,9.06232E-06,2.01573E-08,7.605530274
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,5,7.605530254,0,0,7.605530254
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,5,7.605530254,0,0,7.605530254
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,5,7.605530254,0,0,7.605530254
0xA63519e67dAe9A551AD34ae679cf0E911a78381A,5,7.605530254,0,0,7.605530254
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,5,7.605530254,0,0,7.605530254
0x93FC1F35f53a9553534979233caF273214C51Fd7,5,7.605530254,0,0,7.605530254
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,5,7.605530254,0,0,7.605530254
0xf31B40DbcBa528f2cD6Ea9D65058BE320175D259,5,7.605530254,0,0,7.605530254
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,5,7.605530254,0,0,7.605530254
0xdE6b1d60b5c5c0C8a41C8c3241C56E8754D5Ca65,5,7.605530254,0,0,7.605530254
0xA8992310f620dc8f23F9Cf4faD90A2F2380D8d6a,5,7.605530254,0,0,7.605530254
0xf041e368e33d7f28dec1918D52D691C383f42e2d,2,3.042212101,1985.10082,4.415451504,7.457663606
0x708800fBf7a7e8E65B1D8BBF651c5c32019e7325,1,1.521106051,2658.673923,5.913677356,7.434783407
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,4,6.084424203,548.1946852,1.21934716,7.303771363
0xa4dDA080E000478EB51C5a9e1122f98Ca76ebD8E,3,4.563318152,1081.051725,2.404578858,6.967897011
0x76b4D57A195eD129b28d1e320eD53655EF4750f3,3,4.563318152,1024.446204,2.278671434,6.841989587
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,4,6.084424203,314.1516809,0.698766278,6.783190481
0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,3,4.563318152,997.5611799,2.218871186,6.782189339
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,4,6.084424203,299.0746829,0.665230574,6.749654777
0xe02c707c40c9184a5BF6c3AB1ca2609F32989822,0,0,3026.046517,6.730822691,6.730822691
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,0,0,2976.986084,6.621697774,6.621697774
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,0,0,2956.92153,6.577068269,6.577068269
0xB203df26AF3666f4214661f7f903C46EDF9403b0,2,3.042212101,1527.603717,3.397842599,6.4400547
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,2,3.042212101,1505.551016,3.348790867,6.391002968
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,4,6.084424203,99.69852171,0.221759007,6.30618321
0xD952fB344DDAcC0c0e8c23cc686C10d5Dda11A97,4,6.084424203,49.86151987,0.110906771,6.195330974
0x4c1Fd4e71E38bDaE5cc0dBce263dBb6Be018B6cB,4,6.084424203,49.85376858,0.11088953,6.195313733
0xaa1158b6bf42C03cA787F71A2f0CbEfBaf98Bb86,2,3.042212101,1373.780252,3.055693705,6.097905806
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,4,6.084424203,1.000013048,0.002224325,6.086648528
0x47dC446E56D14C5a51fB7cFf0abA7E5433754Be8,4,6.084424203,1.20279E-05,2.67536E-08,6.08442423
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,4,6.084424203,0,0,6.084424203
0xd4d8564BAACe86315F02e91d1AFd54a5979719E3,4,6.084424203,0,0,6.084424203
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,4,6.084424203,0,0,6.084424203
0xc8d42ec0eA8f543E01bd49199f6a1888AE11023B,4,6.084424203,0,0,6.084424203
0xCBE12068CaB7A49BB9C9746a734dE7A11211A3B1,4,6.084424203,0,0,6.084424203
0xF2c06f90FB58844C09220e01E3116A2293Df6960,4,6.084424203,0,0,6.084424203
0x2c5C5db1847a96d879b6244cce9320508Bf0A61b,4,6.084424203,0,0,6.084424203
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,2,3.042212101,1298.087792,2.88733128,5.929543382
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,3,4.563318152,584.2261894,1.299491885,5.862810037
0xDA9890c4d573fe27f79C0665ae7E740c6a11412F,3,4.563318152,551.5666403,1.226847386,5.790165538
0x0b6bF854CB7c816518a96317893e43AB219BD365,2,3.042212101,1179.619666,2.623823121,5.666035222
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,3,4.563318152,483.8194698,1.076157636,5.639475788
0x3787Eea0767fE73d272aD543651Ada3F4dad8279,0,0,2476.589003,5.508666626,5.508666626
0x64eD2D64912e45d004a64b0f9F3D759533C395e8,3,4.563318152,401.7825769,0.893683316,5.457001468
0x2bD7716Ce2c43B9c0D58982F5BAC67633bf2E7dC,3,4.563318152,249.5351695,0.55504004,5.118358193
