Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT,,,,
0x300010ded7B789Ab5764BB52ddE82edD6D29908d,0,0,7,8.77043021,8.77043021,,,,
0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,0,0,7,8.77043021,8.77043021,,,,
0x0Bd93eb28097CC848649D8d4Cb429536fC448b30,985.7259703,1.154215001,6,7.517511609,8.67172661,,,,
0xf18EA5E93F44A5282a3FDF810F746a66158a443C,7377.298553,8.638291894,0,0,8.638291894,,,,
0x9705376153EB999dEF24630F56FE8af703b5Ad31,7364.569184,8.623386709,0,0,8.623386709,,,,
0x4e46cd691B0A159FBE5e2D08a3951a324e2fb4C0,7325.242183,8.577337587,0,0,8.577337587,,,,
0x6c32AE11056885Ee17a57EEA1ca0A1D1387585B1,4036.419603,4.726360264,3,3.758755804,8.485116069,,,,
0x7909759B82EB27aB3Cc886C5f3fCE3A72a565b39,2921.761074,3.421174407,4,5.011674406,8.432848813,,,,
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,771.6486921,0.903545735,6,7.517511609,8.421057344,,,,
0x9f32B5A3A6A21dF1671c74372F18415CB3FCaca2,733.9936494,0.859454358,6,7.517511609,8.376965967,,,,
0x3cD49c9aD5766Fb4a19a42DB15E516480dc58673,1799.832483,2.107475825,5,6.264593007,8.372068832,,,,
0x2f08D099C60823Ce5955e747909D216dCBC9bF21,677.0019757,0.792721162,6,7.517511609,8.310232771,,,,
0x98De69Fc87790bF9679e5B781a03e6821F3d2F75,476.6245453,0.558093443,6,7.517511609,8.075605051,,,,
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,2600.562916,3.045074209,4,5.011674406,8.056748615,,,,
0xa919538CeAb5c64608945865835dbC10540feB1D,6811.146579,7.975368201,0,0,7.975368201,,,,
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,3547.359154,4.153705262,3,3.758755804,7.912461067,,,,
0xc928499a080594C8854D1A46DCAe5E862acC5d08,4556.980087,5.335899566,2,2.505837203,7.841736769,,,,
0x7a9A2FFA209C212e8c36e74FB209518E959F65dB,4450.162032,5.210823221,2,2.505837203,7.716660424,,,,
0xE1f987CB66D8F0Da79Cb0fE245500200bbFBA51E,6551.984634,7.671907995,0,0,7.671907995,,,,
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,1182.585051,1.384722984,5,6.264593007,7.649315991,,,,
0xAF777F6ff15de8d50527208d8cbd36576b213f97,1161.720377,1.360291934,5,6.264593007,7.624884942,,,,
0xBB848BD68E52D7DA5A8921E637e38079eE0728D4,6433.572721,7.533256067,0,0,7.533256067,,,,
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,0,0,6,7.517511609,7.517511609,,,,
0x50f461F471e7dCe973e27f0e319eBe868135D764,0,0,6,7.517511609,7.517511609,,,,
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,0,0,6,7.517511609,7.517511609,,,,
0x6282e24BAAAF04c984e8AE7CD0C763709743Cf9d,0,0,6,7.517511609,7.517511609,,,,
0x9080196182F77B89BB5B0EeE3Ddb48cFA716c4c3,0,0,6,7.517511609,7.517511609,,,,
0x3FbacD52FA6F1F15Bc3D776474FdAB07ec9D8d59,6336.59008,7.419696293,0,0,7.419696293,,,,
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,2050.81437,2.401357763,4,5.011674406,7.413032169,,,,
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,1994.546443,2.335472022,4,5.011674406,7.347146428,,,,
0x9b68185AaDEB867DEd2cf16E0d798D2D6A63eA01,3952.804757,4.628453227,2,2.505837203,7.13429043,,,,
0xE7793581460b2c5C088Ae0D6465DB6fCD33F3E43,6000.147894,7.025746422,0,0,7.025746422,,,,
0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,1696.27847,1.98622144,4,5.011674406,6.997895846,,,,
0x2c5C5db1847a96d879b6244cce9320508Bf0A61b,1566.838825,1.834656823,4,5.011674406,6.846331229,,,,
