HolderAddress,Balance,PendingBalanceUpdate
0xb7b1cc940cc88640089028d4910de22e39e6d117,290.6046453,No
0x63eb17f24fdf1a9e286831fe21acf72c975e88fe,286.707121,No
0x98de69fc87790bf9679e5b781a03e6821f3d2f75,285.8808818,No
0x4f086538ea410fe7ad1fd369e586cf39dcca024d,285.1118178,No
0x11cdb878196aace05362e7caa01de4ac1d039edc,280.7791388,No
0x0f7c548c3c100e1ad6a1f092d95884cc4dcef4bb,280.0546821,No
0xde312cc0910eb6b6a30e9ee0c9c4a08c40cd2265,279.1229144,No
0xe7dcf2b7bb30c638c67c3c2a6f3bb18335570b92,278.4869431,No
0xa4eaa59ea27a22d5e1b5d0a048991634de3ba14e,278.1269105,No
0xe023d9ead98a431a88e913629599884839cdf92f,271.7071905,No
0xc3fd1227da579220afeb28b400dacc4ad6523c7c,271.6207671,No
0xe7cbb8d73e5ca000816910f100d60b5fe33588f7,262.1034769,No
0xfa3ce52c15f19f363833b2983340325000a4636c,262.0851966,No
0xba5589313ee771863f923aaede36027901364aa7,259.18771,No
0x2faf55a544c5f73666438bc185aecc9d685e6e3c,255.6011624,No
0xa166b7be23a1b3a0b78ade3da22b94338050934f,251.7791941,No
0xf8f94c0733a28919dcfa6c52668c688234359d88,249.5034387,No
0xa4c34d2417818f5c9c3519164ab9658989624e05,249.0235766,No
0x23554ea86b2a86111f8a2d3a65c0b1d39ec0c9b8,247.2675338,No
0x19223782ad6556b0de843156e968270e32a5c10c,247.0543223,No
0xf5fe364d18f4a5a53badce9a046ba74cfc97f6fb,246.1632522,No
0xa49e4b4d21fd95aa309b9bf3a4550aff55a28786,241.5615865,No
0x1fb9a4d95f9271ccaa758e1f51ead80dc117080a,239.1956358,No
0x7542a876bccb7ad335370e27c0e0988476a95f46,237.3455424,No
0xa81f1d717712f340bff0c3491f15c003f18082a8,232.711707,No
0xbad81e37c8d4657672e4ae61ba5a49084dc5949e,231.941116,No
0xc8d42ec0ea8f543e01bd49199f6a1888ae11023b,231.5519206,No
0x00742e4243f30c122953d96000383b97163a38ac,230.5612925,No
0x2df3785d05a39a6e9d61100f79380dab380240a3,229.7841712,No
0x6cd71d6cb7824add7c277f2ca99635d98f8b9248,229.7180435,No
0x17c329410827c44773143be72cf0eaf54dbd59d1,228.6879521,No
0xacba84f681250a027686b85fb4903f9f1c9caef3,224.7483876,No
0x5eede1c45e4401d7d95e55446dad71b511328534,219.7910962,No
0xc5c60f47f3cb3a335474eeb69009d611c040b7a6,218.7921861,No
0x89a1145fccac1a2a9350ec1a4a486e4458d26274,217.4349368,No
0xe90e640b09fdef82c3e33f2ba2d80d4a784ba0f5,216.746823,No
0xb3e2a7b1295d9ee03e1f300dfccaab2ecd47ee53,213.882782,No
0x935361eb81ffe4eef326902ac37e8aba82edf403,212.7458392,No
0xb86737f3b14de6eb7970e2d440b0ad91cb008133,210.3460391,No
0xa5db108658794763ea82e7c4643e0e38b13578fe,208.1533019,No
0x0ba08ce2e477c8874f162e8aa87deb41357eabc1,207.1902907,No
0x01712ca1676c850698bd52ed3973d5cdca71fa67,206.9962601,No
0x5477729b43a0a9bea8c41367c62e7864123b57d8,205.8790396,No
0x7bcec44c7486143ee875103de66006047cae8df7,203.7299295,No
0xa915023b3ed1e00e078789e63de079b4d6dcc348,200.4539516,No
0xb93aeb0e49f3c9e1f8ddb96460e44d478ca1c505,200.0000293,No
0xedfb6cd3069fe177c1cbe63c066cae12d754d124,199.3873214,No
0x1139efacbbc46230bfe4f9f7e6f48b0ebfb73415,199.1390173,No
0x348914e7a022a6dea361ed32e2555db258d3cfbd,197.9901881,No
0x90b29f03b7b35326d72c83e414f200ff8b204ccb,197.1724213,No
0xd26b4f36f3784ff6481b0f0cfaba1fa2ca941c40,194.0738849,No
0x9daf567d017d577a5f35f8caf72b64b323ebb44a,191.2276818,No
0x589f2cf9f10cc216d4e57774b54fbbac4461b079,190.1956434,No
0x512a519a8c6b35b6af39c3a6d219c56ab380da13,186.3281071,No
0x44a3fa3c92f1421592ceceb4d717907a217ebc62,178.6962169,No
0xaa69023439e430438d5fbd01ccaa07ccc8de53b2,177.3389476,No
0x686ef78d56f8c25d101acd3b515fbf07597a6884,176.789612,No
