Wallets,vGHST VLT,Gotchi VLT,Total VLT
0xb26B4A4BBA425aC28224cFDd45B4Bd00C886cC33,0.409098764,0,0.409098764
0x526Fd056069DCf7B5c487Af4FA2b6ECC846E9152,0.411777186,0,0.411777186
0x8351769502d43205668d6cDe2B83b362122f5f4A,0.417434659,0,0.417434659
0x1279a8132C775edE3e738cc2A753fFe47d009353,0.424555397,6.206920354,6.631475751
0x8B6E7c1a343EFd9c7D1E9E06cdae24d5A664DEF3,0.425600708,0,0.425600708
0xf623146b3EE93BC86A626732fF177f8470ffE9cc,0.431222969,0,0.431222969
0x2FAf55a544c5F73666438BC185aeCC9D685E6E3C,0.45941546,2.068973451,2.528388911
0x463c31D1b752d39Fd205fBaa4cBBA6a8541AeFfa,0.459925721,0,0.459925721
0x38dAEa6f17E4308b0Da9647dB9ca6D84a3A7E195,0.46842783,4.137946903,4.606374733
0x0014c642ebEe2273D3790A485e4CF7674c34D886,0.47451507,0,0.47451507
0x546c1528319f9Fc621F5752D98690f28293a5c1D,0.483763691,2.068973451,2.552737143
0xA9bEA5C0C25E4D02d56CBFE9A7564c3CcF599617,0.494870724,2.068973451,2.563844176
0xcBeF46a7Cbe1f46a94ab77501EAa32596Ab3c538,0.512622946,2.068973451,2.581596397
0x07A009e9E98649Bff954cf3032ceB3E21E020f49,0.530685252,62.06920354,62.59988879
0x00987cbCE7014389197f9D5468Dab5A8facFfeE0,0.538466726,2.068973451,2.607440178
0x585E184Dc84968F83e5702659e7e4546545979C0,0.540193166,2.068973451,2.609166618
0x6B3bE6C88C8875168c694e57E62d1dE554Ee6902,0.556905195,12.41384071,12.9707459
0xe7DABc911F5a7250872da534a3eA5DFBAfbbaEd4,0.562017679,0,0.562017679
0xa23B4bc39070Fdb30779F3e587B720fefEF328EC,0.565564301,2.068973451,2.634537752
0x78C76e3DbE8E4081A42F4666c7Eca33F41678686,0.567310483,0,0.567310483
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,0.569275634,20.68973451,21.25901015
0x73719C0C85a430aB716bafC6A2A6768e40F7D334,0.616259549,2.068973451,2.685233001
0xBfBD59C39f83068Ebe8EF181B927B85400222292,0.623321568,2.068973451,2.692295019
0x44a3fa3c92F1421592ceCEb4D717907A217EbC62,0.634142118,0,0.634142118
0x61477Eaa5E33400acC353390Ca001Be0Eb706eb4,0.638416547,16.55178761,17.19020416
0x512a519A8C6b35b6AF39c3A6d219c56ab380dA13,0.661225529,0,0.661225529
0xaA99157856D8785C3A0BAB85F070766554A1d882,0.669776315,4.137946903,4.807723217
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,0.682778931,18.62076106,19.30353999
0x92CF1E3EE8b67Ee478C64706705Bdb4836146fc5,0.69635367,0,0.69635367
0x348914e7a022A6dea361ED32E2555Db258d3cFbd,0.702610942,0,0.702610942
0x3BaC1185Ce631D2AfF051C4894BeAf4071be1993,0.70677181,2.068973451,2.775745261
0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,0.706927504,6.206920354,6.913847858
0xedfb6Cd3069fe177C1cBe63C066Cae12D754d124,0.707568971,2.068973451,2.776542422
0x001900845643957d031eCdB3c5fd84EF08F6AaCa,0.707784994,4.137946903,4.845731896
0x9ded7B691962446704C7bD7D0dfb1F028a2a52F1,0.707929024,2.068973451,2.776902475
0x995b14DAdC423C93C816D3A96d392A0a3F203304,0.722018236,4.137946903,4.859965138
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,0.738758664,4.137946903,4.876705566
0xafae1E9EcD3a355b93960402E875b886f718C55E,0.744091523,4.137946903,4.882038426
0xb86737F3b14dE6eB7970e2D440B0ad91cb008133,0.746458347,2.068973451,2.815431799
0x935361EB81FFE4eEf326902AC37E8Aba82eDf403,0.754974556,0,0.754974556
0x5EeDe1C45E4401d7D95E55446dAd71B511328534,0.770784676,0,0.770784676
0x84820DE436C3ACc9412e43FFE571737113718269,0.799351339,2.068973451,2.868324791
0x17103203eb867DA8f0D5545cbA3894e743c33a06,0.803684866,0,0.803684866
0x83fEBcf72458393A3957cc9793A9F04FF59A3d45,0.814478724,0,0.814478724
0x1A920434d3E1320cb1806e14b9939499d8Fc8e56,0.845156804,0,0.845156804
0x3D16451A4B73e778BFEC126025bA79716a17E32d,0.883656615,2.068973451,2.952630067
0x44a529F72C9F5888C69e0F4A2614D91fd289aF7a,0.884416452,0,0.884416452
0xF8F94C0733A28919dCFA6C52668C688234359D88,0.885416836,6.206920354,7.09233719
0x2bD7716Ce2c43B9c0D58982F5BAC67633bf2E7dC,0.88552944,6.206920354,7.092449794
0xa915023B3eD1e00E078789e63de079b4D6dCc348,0.885665585,2.068973451,2.954639036
0xbA5589313Ee771863f923AaEde36027901364AA7,0.919783565,2.068973451,2.988757016
0xa7Db727D6f68C44F04b358233FA9399936ae5A08,0.920398411,0,0.920398411
0x49D2ee9822027E4596F9ccA57c1b52285b1e938D,0.950370482,0,0.950370482
0x8728a49fE293A20345826493D9a82Bc9CF1953af,0.954935652,0,0.954935652
0xAE35f25d082B33db3d3A8d37f41E12fF2f979071,0.973383253,2.068973451,3.042356704
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,0.9829351,10.34486726,11.32780236
0xA4EAa59ea27a22D5e1B5D0a048991634dE3ba14e,0.986993408,0,0.986993408
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92,0.988271062,0,0.988271062
0xdE312Cc0910EB6b6a30e9Ee0c9C4A08c40CD2265,0.990527943,2.068973451,3.059501394
0x9720bB804ACA0a01BFF95AF749B34eCA59eD5fb4,0.990530165,2.068973451,3.059503617
0x507F0F88f638AA8a9b26a954A1e0aB680F663D4a,0.996585163,2.068973451,3.065558614
0x518a8463FFFf4435431d889E507Fa1a9E1c34502,1.011824431,4.137946903,5.149771334
0xb7b1Cc940Cc88640089028d4910De22E39e6D117,1.031273345,0,1.031273345
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,1.061331102,6.206920354,7.268251456
0x4D64152d23260F399af956c6A777740Cfc263d1C,1.061707678,0,1.061707678
0x0b6bF854CB7c816518a96317893e43AB219BD365,1.062703171,4.137946903,5.200650073
