Address,vGHST,vGHST VLT,Gotchi,Gotchi VLT,total VLT
0x33Caf1E780FC8a92247F42A220cAEAFdE3B5D553,1117.662452,2.315489432,4,5.868691559,8.184180991
0x575C13C07b054438a513f4968605c021856f63F8,2461.509122,5.099570402,2,2.93434578,8.033916182
0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,2434.573526,5.04376725,2,2.93434578,7.97811303
0x29E9315DdBb5c44717D64bD6c0550a692819413d,1678.677504,3.477758436,3,4.40151867,7.879277106
0xf746A85E0e1A8f5E9E5c221135FacA5ADF71eb14,219.006046,0.453720338,5,7.335864449,7.789584787
0x75bbECBC4fA323d304E41Dd383f1F1878288DB00,170.8107807,0.353872994,5,7.335864449,7.689737443
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,95.78203652,0.198434056,5,7.335864449,7.534298505
0xa4dDA080E000478EB51C5a9e1122f98Ca76ebD8E,1476.015428,3.057898312,3,4.40151867,7.459416982
0xC144e32f2a0DB6507fDdfA630628b80468c05B75,3544.765566,7.343780041,0,0,7.343780041
0x9993AB06c1eDC0FdeA706b1F6F6359c0c1EC5E5b,7.84796E-05,1.62588E-07,5,7.335864449,7.335864612
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,6.06824E-05,1.25717E-07,5,7.335864449,7.335864575
0xd32f222283D295f93664B11faAC967e6826b635f,9.06359E-06,1.87773E-08,5,7.335864449,7.335864468
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,9.06232E-06,1.87746E-08,5,7.335864449,7.335864468
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,0,5,7.335864449,7.335864449
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,0,0,5,7.335864449,7.335864449
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,0,0,5,7.335864449,7.335864449
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,0,0,5,7.335864449,7.335864449
0x93FC1F35f53a9553534979233caF273214C51Fd7,0,0,5,7.335864449,7.335864449
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,0,0,5,7.335864449,7.335864449
0xf31B40DbcBa528f2cD6Ea9D65058BE320175D259,0,0,5,7.335864449,7.335864449
0xA63519e67dAe9A551AD34ae679cf0E911a78381A,0,0,5,7.335864449,7.335864449
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,0,0,5,7.335864449,7.335864449
0xdE6b1d60b5c5c0C8a41C8c3241C56E8754D5Ca65,0,0,5,7.335864449,7.335864449
0xA8992310f620dc8f23F9Cf4faD90A2F2380D8d6a,0,0,5,7.335864449,7.335864449
0x3FA9db8d720679E8e5213f6C5D88faB766058e20,1403.244537,2.907137026,3,4.40151867,7.308655696
0x41Ade9A5803B4676917411Dbb439D357965dBf46,2106.333961,4.363745083,2,2.93434578,7.298090862
0xeFF1C603739cc71025C23B49C4D661E6b3DF8184,2794.56158,5.789563563,1,1.46717289,7.256736453
0x25612e8bd7683De22dA45D717D0493B0e96424b4,2761.330137,5.720717146,1,1.46717289,7.187890036
0xf041e368e33d7f28dec1918D52D691C383f42e2d,1985.10082,4.112583333,2,2.93434578,7.046929113
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,548.1946852,1.135708727,4,5.868691559,7.004400286
0x708800fBf7a7e8E65B1D8BBF651c5c32019e7325,2658.673923,5.508041682,1,1.46717289,6.975214572
0xdc25324B8186DE47A976191a54ea0366428Af632,3184.815096,6.598061593,0,0,6.598061593
0x76b4D57A195eD129b28d1e320eD53655EF4750f3,1024.446204,2.122370986,3,4.40151867,6.523889655
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,299.0746829,0.619600548,4,5.868691559,6.488292108
0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,2419.038946,5.01158387,1,1.46717289,6.47875676
0xb1F56a37738C16D150C9Aaa5441f056e65f4fBD6,997.5611799,2.066672604,3,4.40151867,6.468191274
0x581dE43B0273915f61D015E394D2C6aF1F9ce8E6,976.8477426,2.023760055,3,4.40151867,6.425278724
0x7540DB3e26D453EE6298bbdD263a8e4D88BfBE7F,197.8503375,0.409891524,4,5.868691559,6.278583083
0xe02c707c40c9184a5BF6c3AB1ca2609F32989822,3026.046517,6.269136733,0,0,6.269136733
0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,169.206561,0.350549491,4,5.868691559,6.219241051
0xca4aD39F872E89Ef23eABd5716363Fc22513E147,2976.986084,6.167496999,0,0,6.167496999
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,2956.92153,6.125928756,0,0,6.125928756
0xB203df26AF3666f4214661f7f903C46EDF9403b0,1527.603717,3.164775069,2,2.93434578,6.099120849
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,99.69852171,0.206547937,4,5.868691559,6.075239496
0xD952fB344DDAcC0c0e8c23cc686C10d5Dda11A97,49.86151987,0.103299366,4,5.868691559,5.971990925
0x4c1Fd4e71E38bDaE5cc0dBce263dBb6Be018B6cB,49.85376858,0.103283307,4,5.868691559,5.971974867
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,1.000013048,0.002071752,4,5.868691559,5.870763312
0x47dC446E56D14C5a51fB7cFf0abA7E5433754Be8,1.20279E-05,2.49185E-08,4,5.868691559,5.868691584
0x22CAb81E0FEe2bad5b015DbBEB6A374A1B8738de,0,0,4,5.868691559,5.868691559
0x1E9fb5428855064B5C38E3Ae96Cc9878c573eD53,0,0,4,5.868691559,5.868691559
0x4C2F62d6F34388a8D134907FeA723E7ed902FE22,0,0,4,5.868691559,5.868691559
0xd4d8564BAACe86315F02e91d1AFd54a5979719E3,0,0,4,5.868691559,5.868691559
0xF2c06f90FB58844C09220e01E3116A2293Df6960,0,0,4,5.868691559,5.868691559
0xCBE12068CaB7A49BB9C9746a734dE7A11211A3B1,0,0,4,5.868691559,5.868691559
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,0,0,4,5.868691559,5.868691559
0xc8d42ec0eA8f543E01bd49199f6a1888AE11023B,0,0,4,5.868691559,5.868691559
0x2c5C5db1847a96d879b6244cce9320508Bf0A61b,0,0,4,5.868691559,5.868691559
0xaa1158b6bf42C03cA787F71A2f0CbEfBaf98Bb86,1373.780252,2.846095125,2,2.93434578,5.780440905
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,595.1031246,1.232890121,3,4.40151867,5.634408791
0x92CB71850Aa43263EBaAa1E0ED3E78Cb984915Ff,1298.087792,2.68928115,2,2.93434578,5.62362693
0x9F533Eec49dc2DBbf495F1cD687c2536d424bE07,584.2261894,1.210356101,3,4.40151867,5.611874771
0x288d3b021202293788d76F76947C74a65450374C,1291.661168,2.675966952,2,2.93434578,5.610312732
0xDA9890c4d573fe27f79C0665ae7E740c6a11412F,551.5666403,1.142694491,3,4.40151867,5.544213161
0x49a338c8A8C92f3f7E5A4700A191bb41595591b2,1255.14598,2.600317517,2,2.93434578,5.534663297
0x001900845643957d031eCdB3c5fd84EF08F6AaCa,1198.449322,2.482857624,2,2.93434578,5.417203404
0x0b6bF854CB7c816518a96317893e43AB219BD365,1179.619666,2.443847752,2,2.93434578,5.378193532
0x64eD2D64912e45d004a64b0f9F3D759533C395e8,401.7825769,0.832383077,3,4.40151867,5.233901747
0x3787Eea0767fE73d272aD543651Ada3F4dad8279,2476.589003,5.130811771,0,0,5.130811771
0x636bFC1dAde24c7E60E5807795E4534D42cb5803,1043.368713,2.161573224,2,2.93434578,5.095919004
0x3172aee5e0B47bB23e87db93327F58E06e6A73B6,961.1487168,1.991235988,2,2.93434578,4.925581768
0x2bD7716Ce2c43B9c0D58982F5BAC67633bf2E7dC,249.5351695,0.516968291,3,4.40151867,4.918486961
0xafae1E9EcD3a355b93960402E875b886f718C55E,952.4277999,1.973168645,2,2.93434578,4.907514425
0x2717C5753df40110905921D77A64c921E1467221,892.6593506,1.849344844,2,2.93434578,4.783690624
0xCE8Fc6755EfCaf7F85C28901Bca4F4b936591542,171.7948492,0.355911713,3,4.40151867,4.757430383
0xaC21Ba42297Bc030e730A5cDb0aDC962DA149691,1574.289213,3.261494587,1,1.46717289,4.728667477
0x1279a8132C775edE3e738cc2A753fFe47d009353,119.636342,0.247853621,3,4.40151867,4.649372291
0xff409F636a82cc1bDac186afC247632b7c8bb5f2,98.72555503,0.204532217,3,4.40151867,4.606050887
0xEc503C9FAC9ccc823ab7F7cebe8953d7ee4CC5AC,792.2548013,1.641334212,2,2.93434578,4.575679992
0xc31372dB84e456193e72a162928539C8F5999Ff6,80.00007991,0.165738179,3,4.40151867,4.567256849
0x31849CbcD3Ab8835455296CCDf77AD78AF99196e,2194.896677,4.547222689,0,0,4.547222689
0xb26B4A4BBA425aC28224cFDd45B4Bd00C886cC33,1479.837229,3.065816033,1,1.46717289,4.532988923
0xf85e13C32734eA54Ec31BE5C9b3E6ED0ae40cBad,39.89064049,0.082642444,3,4.40151867,4.484161114
0x54966bA0beF2e7aC9E3fD83c7e44C5Fd47B4d8e9,39.79508457,0.082444478,3,4.40151867,4.483963148
0x9b328488a8f0fa20628bb959769F0BA78de06466,2154.470929,4.463471649,0,0,4.463471649
0x49e37446d862D0E29934aAF51Cdb128f9c9cA4bA,14.88468285,0.030836972,3,4.40151867,4.432355642
0x15aE010DffeC19729A410B82d51337B385a96b95,11.23494677,0.023275722,3,4.40151867,4.424794392
0xcfbc091F167bBa962790E23Ee2DDA557938b8BAf,9.960149771,0.020634693,3,4.40151867,4.422153363
0xadC045001169071580ad97aF8cF5efB7f235A719,0.787138874,0.001630735,3,4.40151867,4.403149405
0x284aA770c801698e77dbA304c6caADbA6fFDe9ff,9.96455E-05,2.06438E-07,3,4.40151867,4.401518876
0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,6.5435E-05,1.35563E-07,3,4.40151867,4.401518805
0xd6874acC7Cd2f875AD577BcCfDDC16a939188E68,4.32643E-05,8.96317E-08,3,4.40151867,4.401518759
0xAF777F6ff15de8d50527208d8cbd36576b213f97,0,0,3,4.40151867,4.40151867
0x4738c8b9e0d7b48db4056BF017D2F90b2319630d,0,0,3,4.40151867,4.40151867
0x1dce25415D54E6bc694aaFa6cd5e650d28Bb786A,0,0,3,4.40151867,4.40151867
0x87cdacBEC845896b11D449884B7430B89060bBa5,0,0,3,4.40151867,4.40151867
0x8B8B67CD569882e9f200a58e875802e5017D88c0,0,0,3,4.40151867,4.40151867
0x1af1f839Bc24CDcb12c2028bA7c0D51B30d10d11,0,0,3,4.40151867,4.40151867
0x50F27CdB650879A41fb07038bF2B818845c20e17,0,0,3,4.40151867,4.40151867
