Wallet ,vGHST VLT,Gotchi VLT,Total VLT
0xA709f9904a4E3cF50816609834175446C2246577,5.56808E-08,10.20192,10.20192006
0x56a356c378C5FA08Dfd32ee4Ca0Dce93F328BA37,0,10.20192,10.20192
0x99655CA16C742b46A4a05AFAf0f7798C336Fd279,0,10.20192,10.20192
0xF06B10cC81d64D2F01Ba789D24426DB7cf23cD20,0,10.20192,10.20192
0x0d03FD0320d95E5E579E5567aBd7B1Ffd18cc0A4,10.11355845,0,10.11355845
0x25612e8bd7683De22dA45D717D0493B0e96424b4,6.595787376,3.40064,9.996427376
0x70C9666B338795DdAb8f4bd67F580B1D9234b8Dc,4.769104404,5.10096,9.870064404
0xf041e368e33d7f28dec1918D52D691C383f42e2d,4.741665168,5.10096,9.842625168
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,9.730107666,0,9.730107666
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,9.647803552,0,9.647803552
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,9.508685407,0,9.508685407
0xbb899870561D48e823DdfACFFa201dc20214a530,2.599406087,6.80128,9.400686087
0x9993AB06c1eDC0FdeA706b1F6F6359c0c1EC5E5b,0.895448869,8.5016,9.397048869
0x575C13C07b054438a513f4968605c021856f63F8,5.879626841,3.40064,9.280266841
0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,5.815287753,3.40064,9.215927753
0xa05f67c36cb5fE19Aca3fDb8b4671F4b2d46E421,9.011766447,0,9.011766447
0x3EF4160952C23c969BfE612DFFd9D945eb967dc1,9.009084577,0,9.009084577
0xB203df26AF3666f4214661f7f903C46EDF9403b0,3.648875292,5.10096,8.749835292
0x172d7a92660006eBecb125c712FA0Fe9dd53e106,0.238730937,8.5016,8.740330937
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,0.228787547,8.5016,8.730387547
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,8.689308507,0,8.689308507
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,2.16465E-08,8.5016,8.501600022
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,8.5016,8.5016
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,0,8.5016,8.5016
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,0,8.5016,8.5016
0x4a6f00fd13e2695A3F056510DEF18F17d03C9b0C,0,8.5016,8.5016
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,0,8.5016,8.5016
