Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT
0x60523Cd3F5CF0061C6f042545371Fa6ff8cD397B,460.533931,0.594869479,15,17.97954371,18.57441319
0x10e11E6443904faF15cdb944f3E99C321Ccc6199,183.2922886,0.236757774,15,17.97954371,18.21630148
0xb2ac25160796b5e384EdC1Fd8f4479A020C1B53C,9370.551812,12.10389703,5,5.993181236,18.09707826
0x0BAD4eBfF09CEd8dFffC2D99eA04108E1AfAb8b2,0,0,15,17.97954371,17.97954371
0x64dF7AF696e0977771a0E1e1B1a8dD22DED3Cf4b,13860.95893,17.90413446,0,0,17.90413446
0xbb899870561D48e823DdfACFFa201dc20214a530,10989.82483,14.19550425,3,3.595908741,17.79141299
0x101aDDC07D63a6B35B199153252168aB9889Dca1,3142.734307,4.059454896,11,13.18499872,17.24445361
0xb74125Df13CB9194D93d8b62e0DB30352f2B8001,12195.90506,15.75339232,1,1.198636247,16.95202857
0x4eb172821B5bC013269c4F6f6204F092D44197EC,0,0,14,16.78090746,16.78090746
0xD52A4333Bd8cc9AB3C77Df19DeD4900b7849A07d,5936.277503,7.667861301,7,8.39045373,16.05831503
0x8565faab405b06936014C8b6bD5Ab60376Cc051B,12159.16131,15.7059306,0,0,15.7059306
0x472d7E705f3baa44f82bFF5B397330015d810828,0,0,13,15.58227121,15.58227121
0xa8bd174385B14F880F8b7F06894Cc1bF265Db32e,1347.015598,1.739933615,11,13.18499872,14.92493233
0x4eDb4161D16c89b71Aec027930a943c3d4cf0777,380.0065914,0.490852699,12,14.38363497,14.87448766
0x4A32007040567190BeD4fa6Ff3f5A03C0d47C9D7,11488.30453,14.8393881,0,0,14.8393881
0xCe9332f4d44e9Efccc64f88C9bD23E288c0ae5a2,5916.453359,7.64225455,6,7.191817483,14.83407203
0xaB9786A5e330B50e44579132b8A3Cf7C1c3A9517,11250.25757,14.53190397,0,0,14.53190397
0x08f214ECD776cc89f89A65c2Daa62A3aB5191A2E,11153.97467,14.40753582,0,0,14.40753582
0x5317Ef9170f26112FBA458958889C15Af78dfCf7,0.446305836,0.000576491,12,14.38363497,14.38421146
0x352aC32C9663FB7CAAC363F77B121c34D9ACb420,0.300419815,0.000388051,12,14.38363497,14.38402302
0xCC6a751a0E644b445984D74f176E9bABF46B2a97,10111.22132,13.0606163,1,1.198636247,14.25925254
0xdAc12B6ddBF055eE542f0Ed460a32D1e9F361ca4,9874.195167,12.75445074,1,1.198636247,13.95308699
0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,2323.989079,3.001885595,9,10.78772622,13.78961182
0x956F1CE3ff2ea59A8b41DF83Ce9F85ED59D73F92,3996.250762,5.161938025,7,8.39045373,13.55239176
0x99F6d5197004FFe49e7b3C627EAd81CDc3A74283,0,0,11,13.18499872,13.18499872
0x8f9bE4310f9AbB0E5843Cc6363908C9B01dfeB3F,9969.430023,12.87746515,0,0,12.87746515
0xE08Fd80d7D0593a616c01A3F2A17bdC3206c71b4,2525.313708,3.261935656,8,9.589089977,12.85102563
0x24970b51dd29DC2Dfa264Cd51C41998C68E3D7E6,642.519336,0.829939158,10,11.98636247,12.81630163
0x88512CfC901ADB8E17a143310700d6C4BF036F6a,9884.530139,12.76780038,0,0,12.76780038
0x1c9674667D8468204452c52D610a0883E97C22aD,9811.790664,12.67384314,0,0,12.67384314
0xAb2e11C99D8830D5d9B2494A565c974595e39eef,7766.914386,10.03248622,2,2.397272494,12.42975871
0x0b3CEf9F913f4F08bba1ED0FD5BA892C0FeC5617,9595.773211,12.39481443,0,0,12.39481443
0x934dff4d5e1a5138D9863F38ab959b07046Dba45,1995.249503,2.577254255,8,9.589089977,12.16634423
0x5477729b43A0A9beA8c41367C62e7864123B57d8,100.8764496,0.130301628,10,11.98636247,12.1166641
0xCd8Eddd0A27047D53D65f23D483A8A169D54526B,63.94454985,0.08259687,10,11.98636247,12.06895934
0x0a097a28a9ecdef27380bed164eEDca0561ACCfd,40.25128437,0.051992392,10,11.98636247,12.03835486
0x260EDfEa92898A3C918A80212e937e6033F8489E,8351.889807,10.78809618,1,1.198636247,11.98673243
0x5c4eab549a528Bf15c47A01e174500010997235c,0,0,10,11.98636247,11.98636247
0x750e361EE017e398C922F2B634387ECff810DF6c,0,0,10,11.98636247,11.98636247
0xfbb073e09D84970d1eFe099aBBE9E626f8FF7024,0,0,10,11.98636247,11.98636247
0xFd86D28a6dF8635C47AF7c6Ac5597893070D6336,0,0,10,11.98636247,11.98636247
0x76E059C6FF6bf9FFFD5f33AFdf4AB2FD511C9DF4,0,0,10,11.98636247,11.98636247
0x3C25AE7daE49b3c24439549928BfC1DF60A0aD20,0,0,10,11.98636247,11.98636247
0xfe791B87F607AE6BE8449e64d393c91be46a1245,0,0,10,11.98636247,11.98636247
0x43FF4C088df0A425d1a519D3030A1a3DFff05CfD,0,0,10,11.98636247,11.98636247
0x8C9F3175d8aa227ecCdBc21B95bC5fA328006A0f,9261.20334,11.96265213,0,0,11.96265213
0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,3603.002852,4.653981577,6,7.191817483,11.84579906
0x6c8E15EC8e35b6ffb246d60AbcA2Ba81d4e247F4,8155.718028,10.53470203,1,1.198636247,11.73333828
