vGHST,,,,,,Gotchis,,,,,,,,,
,,,,,,,,,,,,,,,
Wallet,Balance,Percentage,VLT earned,,,Tokenid,Wallet,,Unique wallets,Quant,percentage,VLT,,,
0xd6715f048B7812F6fcFd04a84CcE9F391968e705,4.980297097,3.77975E-06,0.01767366,,,12059,0xa1BbD8D39eD536DEa030A32F3F6C5916C845A800,,0xf1FCeD5B0475a935b49B95786aDBDA2d40794D2d,1,0.000442478,2.068973451,,,
0xa768b6A093198Aab126F199AE9bcb234DDB62326,4.980308937,3.77976E-06,0.017673702,,,24793,0xA5ba6Ae9CDF56761be100a33DE63363660ef744A,,0xc976895017c81Ac926478C26c347BBEd202d0508,5,0.002212389,10.34486726,,,
0x2127AA7265D573Aa467f1D73554D17890b872E76,4.984899905,3.78324E-06,0.017689994,,,21248,0x8B9F39b3c76AaB744BCee37cC56782bAC8eb5FFb,,0x4Cd3210Ce0E7AEF75eCFf5475B75034dc328B1d4,2,0.000884956,4.137946903,,,
0x741DF195c5c1d860A13AF1A984303feB1cc7F001,4.985845046,3.78396E-06,0.017693348,,,17787,0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,,0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,5,0.002212389,10.34486726,,,
0xF61397E4b0FF46E78b34D5f72B49b4d46e8c96DD,4.986265110,3.78428E-06,0.017694839,,,20173,0xC61b244fA2B83eFe9EF91dA7390CA5FC1cbb35B1,,0x9080196182F77B89BB5B0EeE3Ddb48cFA716c4c3,18,0.007964602,37.24152212,,,
0x3560af9b737676483f8c8f2803Ee4F95368941fC,5.974878959,4.53458E-06,0.021203148,,,9792,0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,,0xF0Bc763e0A6AF4784a36fa102220FF60eC651f9e,10,0.004424779,20.68973451,,,
0xA11f19D27A73C6dfb7A700175357c1dedf79367D,5.976051887,4.53547E-06,0.021207311,,,18486,0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,,0x3437c5b790b878c357aCff653349AA5072Ea5B00,1,0.000442478,2.068973451,,,
0xD8e367019Dc5C28290F1e036790d72B975d35EDA,6.055215533,4.59555E-06,0.02148824,,,956,0xaFB2735179C625dD1D199b415a88A32C5D0fcCCE,,0x579ea3F1e0617Aa237E36C0501822b55bE8D84ED,4,0.001769912,8.275893805,,,
0x824877Ea01fbc2dF1DD89c5492FA724aE3A8e8AE,6.539567406,4.96314E-06,0.023207067,,,3498,0xB27f6Df486ef5dEE2e3A4DC4f257DD63E5A5e371,,0x4572581Fc62D4477B9E11bb65eA8a1c306CbBa3D,1,0.000442478,2.068973451,,,
0x3D1b6e6757cC0334f0b468F4c7C93b3B30859649,6.972493490,5.29171E-06,0.024743399,,,19045,0x0b6bF854CB7c816518a96317893e43AB219BD365,,0x5B71ab89a74Eb8515585bf100A69BcF12F9eaA3b,2,0.000884956,4.137946903,,,
0x56f820BC0bB5326C74b804CEbAA37C3EE7524f8E,7.780686458,5.90508E-06,0.027611446,,,11351,0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,,0xF815a566E42b0D8ddD5D77f91409A7d9CeB10B92,168,0.074336283,347.5875398,,,
